Season,Team1,Team2,Target,Seed1,Seed2,SeedDiff,PPG_T1,PAPG_T1,PPG_T2,PAPG_T2,PDiff_T1,PDiff_T2,PPG_Diff,PAPG_Diff,PPG_T1.1,FG_Percentage_T1,FG3_Percentage_T1,FT_Percentage_T1,Ast_Per_Game_T1,TO_Per_Game_T1,Stl_Per_Game_T1,Blk_Per_Game_T1,Reb_Per_Game_T1,PPG_T2.1,FG_Percentage_T2,FG3_Percentage_T2,FT_Percentage_T2,Ast_Per_Game_T2,TO_Per_Game_T2,Stl_Per_Game_T2,Blk_Per_Game_T2,Reb_Per_Game_T2,Last5_PPG_T1,Win_Perc_Last5_T1,Last5_PointDiff_T1,Last10_PPG_T1,Win_Perc_Last10_T1,Last10_PointDiff_T1,Last5_PPG_T2,Win_Perc_Last5_T2,Last5_PointDiff_T2,Last10_PPG_T2,Win_Perc_Last10_T2,Last10_PointDiff_T2,SOS_T1,SOS_T2,ConfTourneyStage_T1,ConfTourneyStage_T2
2003,1163,1140,1,5,12,-7,80.03,71.4,72.45,63.68,8.63,8.77,7.58,7.72,80.03,0.47,0.39,0.67,15.63,15.8,5.93,7.73,42.67,72.45,0.47,0.38,0.75,13.42,13.74,6.94,2.52,35.29,76.0,0.6,39.0,76.8,0.6,59.0,75.6,0.8,50.0,69.5,0.7,60.0,102.71,105.31,4,3
2003,1140,1163,0,12,5,7,72.45,63.68,80.03,71.4,8.77,8.63,7.58,7.72,72.45,0.47,0.38,0.75,13.42,13.74,6.94,2.52,35.29,80.03,0.47,0.39,0.67,15.63,15.8,5.93,7.73,42.67,75.6,0.8,50.0,69.5,0.7,60.0,76.0,0.6,39.0,76.8,0.6,59.0,105.31,102.71,3,4
2003,1181,1161,1,3,14,-11,81.97,70.4,74.0,72.67,11.57,1.33,7.97,2.27,81.97,0.45,0.36,0.71,13.83,14.03,8.5,5.13,36.87,74.0,0.51,0.36,0.7,15.5,16.13,5.33,4.23,34.27,78.6,0.8,39.0,77.3,0.8,92.0,68.6,0.8,-1.0,71.9,0.5,-11.0,84.02,119.86,4,4
2003,1161,1181,0,14,3,11,74.0,72.67,81.97,70.4,1.33,11.57,7.97,2.27,74.0,0.51,0.36,0.7,15.5,16.13,5.33,4.23,34.27,81.97,0.45,0.36,0.71,13.83,14.03,8.5,5.13,36.87,68.6,0.8,-1.0,71.9,0.5,-11.0,78.6,0.8,39.0,77.3,0.8,92.0,119.86,84.02,4,4
2003,1211,1153,1,9,8,1,77.06,68.19,67.32,61.5,8.87,5.82,9.74,6.69,77.06,0.47,0.38,0.72,15.74,14.55,6.81,3.52,37.26,67.32,0.4,0.34,0.69,12.29,10.61,5.18,4.25,35.54,69.6,0.8,29.0,72.3,0.7,69.0,62.0,0.4,-12.0,66.2,0.4,1.0,138.14,86.89,4,0
2003,1153,1211,0,8,9,-1,67.32,61.5,77.06,68.19,5.82,8.87,9.74,6.69,67.32,0.4,0.34,0.69,12.29,10.61,5.18,4.25,35.54,77.06,0.47,0.38,0.72,15.74,14.55,6.81,3.52,37.26,62.0,0.4,-12.0,66.2,0.4,1.0,69.6,0.8,29.0,72.3,0.7,69.0,86.89,138.14,0,4
2003,1228,1443,1,4,13,-9,75.43,61.4,73.1,66.42,14.03,6.68,2.34,5.02,75.43,0.49,0.37,0.72,18.27,13.17,7.0,3.1,35.13,73.1,0.46,0.37,0.66,14.19,15.16,7.06,3.55,35.42,76.4,0.8,66.0,74.8,0.8,128.0,74.2,1.0,59.0,75.0,1.0,117.0,103.71,155.22,4,4
2003,1443,1228,0,13,4,9,73.1,66.42,75.43,61.4,6.68,14.03,2.34,5.02,73.1,0.46,0.37,0.66,14.19,15.16,7.06,3.55,35.42,75.43,0.49,0.37,0.72,18.27,13.17,7.0,3.1,35.13,74.2,1.0,59.0,75.0,1.0,117.0,76.4,0.8,66.0,74.8,0.8,128.0,155.22,103.71,4,4
2003,1242,1429,1,2,15,-13,81.33,66.37,65.97,60.1,14.97,5.87,15.37,6.27,81.33,0.49,0.34,0.67,16.73,14.9,10.13,4.9,41.2,65.97,0.46,0.33,0.72,13.9,12.23,5.07,2.0,35.0,75.0,0.8,42.0,77.3,0.8,122.0,70.4,1.0,32.0,68.3,0.7,78.0,78.66,187.22,3,4
2003,1429,1242,0,15,2,13,65.97,60.1,81.33,66.37,5.87,14.97,15.37,6.27,65.97,0.46,0.33,0.72,13.9,12.23,5.07,2.0,35.0,81.33,0.49,0.34,0.67,16.73,14.9,10.13,4.9,41.2,70.4,1.0,32.0,68.3,0.7,78.0,75.0,0.8,42.0,77.3,0.8,122.0,187.22,78.66,4,3
2003,1266,1221,1,3,14,-11,78.39,67.68,69.34,58.21,10.71,11.14,9.05,9.47,78.39,0.48,0.38,0.77,16.32,13.57,6.0,3.64,37.18,69.34,0.46,0.36,0.71,15.41,13.93,7.97,4.48,36.38,80.2,0.8,29.0,75.5,0.8,58.0,66.2,1.0,70.0,68.0,1.0,110.0,106.66,218.07,2,4
2003,1221,1266,0,14,3,11,69.34,58.21,78.39,67.68,11.14,10.71,9.05,9.47,69.34,0.46,0.36,0.71,15.41,13.93,7.97,4.48,36.38,78.39,0.48,0.38,0.77,16.32,13.57,6.0,3.64,37.18,66.2,1.0,70.0,68.0,1.0,110.0,80.2,0.8,29.0,75.5,0.8,58.0,218.07,106.66,4,2
2003,1281,1356,1,6,11,-5,71.77,66.48,74.53,68.1,5.29,6.43,2.76,1.62,71.77,0.44,0.36,0.66,13.74,13.61,5.71,4.32,39.39,74.53,0.47,0.39,0.71,13.57,12.5,7.97,3.2,33.3,63.8,0.6,9.0,65.3,0.6,11.0,68.6,0.8,21.0,70.4,0.8,47.0,79.46,146.23,4,4
2003,1356,1281,0,11,6,5,74.53,68.1,71.77,66.48,6.43,5.29,2.76,1.62,74.53,0.47,0.39,0.71,13.57,12.5,7.97,3.2,33.3,71.77,0.44,0.36,0.66,13.74,13.61,5.71,4.32,39.39,68.6,0.8,21.0,70.4,0.8,47.0,63.8,0.6,9.0,65.3,0.6,11.0,146.23,79.46,4,4
2003,1323,1454,1,5,12,-7,80.1,71.19,77.1,69.93,8.9,7.17,3.0,1.26,80.1,0.45,0.38,0.76,16.9,12.77,7.45,5.65,38.26,77.1,0.47,0.36,0.69,17.1,14.87,8.8,3.6,34.53,83.0,0.2,-22.0,78.7,0.4,-5.0,76.0,0.6,48.0,77.2,0.8,128.0,88.07,160.21,0,4
2003,1454,1323,0,12,5,7,77.1,69.93,80.1,71.19,7.17,8.9,3.0,1.26,77.1,0.47,0.36,0.69,17.1,14.87,8.8,3.6,34.53,80.1,0.45,0.38,0.76,16.9,12.77,7.45,5.65,38.26,76.0,0.6,48.0,77.2,0.8,128.0,83.0,0.2,-22.0,78.7,0.4,-5.0,160.21,88.07,4,0
2003,1328,1354,1,1,16,-15,71.17,60.17,72.8,71.27,11.0,1.53,1.63,11.1,71.17,0.45,0.39,0.71,14.17,11.8,6.93,3.77,37.1,72.8,0.46,0.33,0.7,10.27,19.47,8.0,2.9,37.23,67.4,0.8,44.0,66.2,0.8,62.0,74.8,1.0,21.0,75.3,0.7,41.0,84.26,250.28,4,4
2003,1354,1328,0,16,1,15,72.8,71.27,71.17,60.17,1.53,11.0,1.63,11.1,72.8,0.46,0.33,0.7,10.27,19.47,8.0,2.9,37.23,71.17,0.45,0.39,0.71,14.17,11.8,6.93,3.77,37.1,74.8,1.0,21.0,75.3,0.7,41.0,67.4,0.8,44.0,66.2,0.8,62.0,250.28,84.26,4,4
2003,1390,1360,1,4,13,-9,72.26,66.97,74.68,71.57,5.29,3.11,2.42,4.6,72.26,0.44,0.36,0.68,14.65,14.32,5.52,3.35,38.87,74.68,0.47,0.38,0.66,16.39,18.18,5.39,3.43,37.89,79.2,0.6,24.0,76.7,0.7,53.0,77.2,0.8,56.0,78.1,0.8,110.0,91.71,140.68,2,4
2003,1360,1390,0,13,4,9,74.68,71.57,72.26,66.97,3.11,5.29,2.42,4.6,74.68,0.47,0.38,0.66,16.39,18.18,5.39,3.43,37.89,72.26,0.44,0.36,0.68,14.65,14.32,5.52,3.35,38.87,77.2,0.8,56.0,78.1,0.8,110.0,79.2,0.6,24.0,76.7,0.7,53.0,140.68,91.71,4,2
2003,1409,1173,1,13,4,9,73.52,65.26,72.79,66.31,8.26,6.48,0.72,1.05,73.52,0.46,0.36,0.73,14.77,14.32,7.58,5.0,36.97,72.79,0.45,0.36,0.72,15.21,13.31,5.38,2.93,36.66,72.6,1.0,64.0,73.1,0.9,131.0,76.0,1.0,44.0,75.2,0.8,71.0,148.47,114.87,4,4
2003,1173,1409,0,4,13,-9,72.79,66.31,73.52,65.26,6.48,8.26,0.72,1.05,72.79,0.45,0.36,0.72,15.21,13.31,5.38,2.93,36.66,73.52,0.46,0.36,0.73,14.77,14.32,7.58,5.0,36.97,76.0,1.0,44.0,75.2,0.8,71.0,72.6,1.0,64.0,73.1,0.9,131.0,114.87,148.47,4,4
2003,1458,1451,1,5,12,-7,70.72,58.69,74.21,67.17,12.03,7.03,3.48,8.48,70.72,0.46,0.36,0.74,13.31,10.52,6.97,2.83,32.86,74.21,0.47,0.34,0.73,14.28,12.45,6.76,0.66,33.1,62.6,0.8,40.0,63.9,0.7,59.0,74.2,1.0,53.0,77.3,1.0,114.0,107.39,184.78,2,4
2003,1451,1458,0,12,5,7,74.21,67.17,70.72,58.69,7.03,12.03,3.48,8.48,74.21,0.47,0.34,0.73,14.28,12.45,6.76,0.66,33.1,70.72,0.46,0.36,0.74,13.31,10.52,6.97,2.83,32.86,74.2,1.0,53.0,77.3,1.0,114.0,62.6,0.8,40.0,63.9,0.7,59.0,184.78,107.39,4,2
2003,1120,1386,1,10,7,3,70.1,65.57,70.62,59.28,4.53,11.34,0.52,6.29,70.1,0.47,0.34,0.66,13.4,15.9,8.03,4.97,34.5,70.62,0.45,0.37,0.68,14.0,12.93,7.21,5.55,35.31,61.6,0.4,-17.0,62.1,0.4,-74.0,69.6,0.6,28.0,71.5,0.7,81.0,92.38,127.85,3,3
2003,1386,1120,0,7,10,-3,70.62,59.28,70.1,65.57,11.34,4.53,0.52,6.29,70.62,0.45,0.37,0.68,14.0,12.93,7.21,5.55,35.31,70.1,0.47,0.34,0.66,13.4,15.9,8.03,4.97,34.5,69.6,0.6,28.0,71.5,0.7,81.0,61.6,0.4,-17.0,62.1,0.4,-74.0,127.85,92.38,3,3
2003,1139,1280,1,12,5,7,68.59,60.93,70.17,60.17,7.66,10.0,1.58,0.76,68.59,0.48,0.39,0.72,12.97,10.41,6.34,1.86,28.21,70.17,0.47,0.34,0.68,14.5,15.63,8.73,3.73,37.27,64.6,0.8,13.0,66.1,0.8,44.0,64.4,0.6,29.0,62.5,0.6,44.0,155.42,91.45,4,4
2003,1280,1139,0,5,12,-7,70.17,60.17,68.59,60.93,10.0,7.66,1.58,0.76,70.17,0.47,0.34,0.68,14.5,15.63,8.73,3.73,37.27,68.59,0.48,0.39,0.72,12.97,10.41,6.34,1.86,28.21,64.4,0.6,29.0,62.5,0.6,44.0,64.6,0.8,13.0,66.1,0.8,44.0,91.45,155.42,4,4
2003,1196,1358,1,2,15,-13,75.9,64.68,71.78,65.26,11.23,6.52,4.13,0.58,75.9,0.48,0.39,0.71,16.42,13.39,7.77,4.1,35.06,71.78,0.46,0.36,0.71,15.59,15.7,7.81,5.59,36.74,75.6,0.4,29.0,74.0,0.6,92.0,73.6,0.8,28.0,72.0,0.9,80.0,95.08,219.47,2,4
2003,1358,1196,0,15,2,13,71.78,65.26,75.9,64.68,6.52,11.23,4.13,0.58,71.78,0.46,0.36,0.71,15.59,15.7,7.81,5.59,36.74,75.9,0.48,0.39,0.71,16.42,13.39,7.77,4.1,35.06,73.6,0.8,28.0,72.0,0.9,80.0,75.6,0.4,29.0,74.0,0.6,92.0,219.47,95.08,4,2
2003,1231,1104,1,7,10,-3,70.53,67.0,69.29,65.0,3.53,4.29,1.25,2.0,70.53,0.43,0.35,0.71,13.81,11.5,4.44,5.34,36.84,69.29,0.42,0.32,0.71,12.11,13.29,6.61,3.79,37.5,70.4,0.6,30.0,69.8,0.6,25.0,70.8,0.4,25.0,70.9,0.4,11.0,85.88,78.8,3,0
2003,1104,1231,0,10,7,3,69.29,65.0,70.53,67.0,4.29,3.53,1.25,2.0,69.29,0.42,0.32,0.71,12.11,13.29,6.61,3.79,37.5,70.53,0.43,0.35,0.71,13.81,11.5,4.44,5.34,36.84,70.8,0.4,25.0,70.9,0.4,11.0,70.4,0.6,30.0,69.8,0.6,25.0,78.8,85.88,0,3
2003,1246,1237,1,1,16,-15,77.53,64.09,71.25,70.41,13.44,0.84,6.28,6.31,77.53,0.49,0.36,0.71,16.19,14.06,7.81,5.09,37.03,71.25,0.45,0.35,0.7,13.38,15.91,8.19,1.81,32.59,79.6,1.0,109.0,75.6,1.0,164.0,71.4,1.0,62.0,73.0,0.8,94.0,77.92,188.64,4,4
2003,1237,1246,0,16,1,15,71.25,70.41,77.53,64.09,0.84,13.44,6.28,6.31,71.25,0.45,0.35,0.7,13.38,15.91,8.19,1.81,32.59,77.53,0.49,0.36,0.71,16.19,14.06,7.81,5.09,37.03,71.4,1.0,62.0,73.0,0.8,94.0,79.6,1.0,109.0,75.6,1.0,164.0,188.64,77.92,4,4
2003,1257,1122,1,4,13,-9,81.83,68.47,69.7,67.7,13.37,2.0,12.13,0.76,81.83,0.46,0.36,0.7,16.6,13.37,7.2,4.73,38.3,69.7,0.45,0.35,0.69,13.41,15.22,7.04,4.67,34.85,83.8,0.8,62.0,80.0,0.6,38.0,71.8,1.0,38.0,69.9,0.9,63.0,92.22,171.43,4,4
2003,1122,1257,0,13,4,9,69.7,67.7,81.83,68.47,2.0,13.37,12.13,0.76,69.7,0.45,0.35,0.69,13.41,15.22,7.04,4.67,34.85,81.83,0.46,0.36,0.7,16.6,13.37,7.2,4.73,38.3,71.8,1.0,38.0,69.9,0.9,63.0,83.8,0.8,62.0,80.0,0.6,38.0,171.43,92.22,4,4
2003,1268,1423,1,6,11,-5,80.79,66.86,71.37,59.6,13.93,11.77,9.42,7.26,80.79,0.46,0.4,0.7,18.89,14.11,10.89,6.61,40.5,71.37,0.46,0.37,0.69,14.67,11.47,9.2,1.9,33.1,81.0,0.6,68.0,80.1,0.5,74.0,69.8,1.0,69.0,71.3,0.9,138.0,101.24,186.61,2,4
2003,1423,1268,0,11,6,5,71.37,59.6,80.79,66.86,11.77,13.93,9.42,7.26,71.37,0.46,0.37,0.69,14.67,11.47,9.2,1.9,33.1,80.79,0.46,0.4,0.7,18.89,14.11,10.89,6.61,40.5,69.8,1.0,69.0,71.3,0.9,138.0,81.0,0.6,68.0,80.1,0.5,74.0,186.61,101.24,4,2
2003,1277,1160,1,7,10,-3,67.23,60.97,75.52,70.06,6.26,5.45,8.29,9.1,67.23,0.45,0.37,0.73,13.61,14.55,6.39,3.71,34.94,75.52,0.44,0.33,0.68,13.39,14.0,6.13,6.65,42.45,66.2,0.8,61.0,63.4,0.6,42.0,72.0,0.8,26.0,74.3,0.6,21.0,85.41,97.41,3,2
2003,1160,1277,0,10,7,3,75.52,70.06,67.23,60.97,5.45,6.26,8.29,9.1,75.52,0.44,0.33,0.68,13.39,14.0,6.13,6.65,42.45,67.23,0.45,0.37,0.73,13.61,14.55,6.39,3.71,34.94,72.0,0.8,26.0,74.3,0.6,21.0,66.2,0.8,61.0,63.4,0.6,42.0,97.41,85.41,2,3
2003,1329,1335,1,6,11,-5,68.72,62.21,70.19,59.41,6.52,10.78,1.46,2.8,68.72,0.44,0.38,0.65,12.24,14.66,8.79,5.59,36.45,70.19,0.47,0.41,0.7,14.85,13.0,7.19,2.15,33.52,61.8,0.2,-12.0,63.8,0.3,-29.0,71.0,1.0,57.0,71.0,1.0,116.0,89.22,179.99,2,-1
2003,1335,1329,0,11,6,5,70.19,59.41,68.72,62.21,10.78,6.52,1.46,2.8,70.19,0.47,0.41,0.7,14.85,13.0,7.19,2.15,33.52,68.72,0.44,0.38,0.65,12.24,14.66,8.79,5.59,36.45,71.0,1.0,57.0,71.0,1.0,116.0,61.8,0.2,-12.0,63.8,0.3,-29.0,179.99,89.22,-1,2
2003,1338,1447,1,2,15,-13,74.6,58.83,75.55,71.45,15.77,4.1,0.95,12.62,74.6,0.5,0.36,0.64,17.77,15.1,8.07,4.1,36.67,75.55,0.47,0.38,0.73,16.1,14.97,7.52,2.81,34.35,68.8,1.0,73.0,71.9,0.9,114.0,76.4,0.6,18.0,72.9,0.8,46.0,112.28,225.77,4,4
2003,1447,1338,0,15,2,13,75.55,71.45,74.6,58.83,4.1,15.77,0.95,12.62,75.55,0.47,0.38,0.73,16.1,14.97,7.52,2.81,34.35,74.6,0.5,0.36,0.64,17.77,15.1,8.07,4.1,36.67,76.4,0.6,18.0,72.9,0.8,46.0,68.8,1.0,73.0,71.9,0.9,114.0,225.77,112.28,4,4
2003,1345,1261,1,9,8,1,71.75,65.25,73.23,62.9,6.5,10.32,1.48,2.35,71.75,0.44,0.33,0.75,12.25,13.82,7.18,2.93,33.86,73.23,0.49,0.38,0.65,16.39,13.87,8.0,4.16,35.13,59.0,0.4,4.0,64.5,0.4,-13.0,70.8,0.8,35.0,74.7,0.8,114.0,83.68,104.42,2,3
2003,1261,1345,0,8,9,-1,73.23,62.9,71.75,65.25,10.32,6.5,1.48,2.35,73.23,0.49,0.38,0.65,16.39,13.87,8.0,4.16,35.13,71.75,0.44,0.33,0.75,12.25,13.82,7.18,2.93,33.86,70.8,0.8,35.0,74.7,0.8,114.0,59.0,0.4,4.0,64.5,0.4,-13.0,104.42,83.68,3,2
2003,1393,1264,1,3,14,-11,80.1,69.9,76.17,67.76,10.21,8.41,3.93,2.14,80.1,0.47,0.33,0.69,14.97,13.62,8.31,7.28,41.21,76.17,0.45,0.35,0.79,13.86,14.21,9.17,3.9,34.62,81.8,0.8,14.0,78.3,0.8,47.0,74.2,0.8,57.0,74.4,0.7,90.0,100.97,184.81,3,4
2003,1264,1393,0,14,3,11,76.17,67.76,80.1,69.9,8.41,10.21,3.93,2.14,76.17,0.45,0.35,0.79,13.86,14.21,9.17,3.9,34.62,80.1,0.47,0.33,0.69,14.97,13.62,8.31,7.28,41.21,74.2,0.8,57.0,74.4,0.7,90.0,81.8,0.8,14.0,78.3,0.8,47.0,184.81,100.97,4,3
2003,1400,1421,1,1,16,-15,78.86,68.68,71.21,78.45,10.18,-7.24,7.65,9.77,78.86,0.45,0.35,0.71,14.5,13.43,6.39,3.86,42.32,71.21,0.43,0.36,0.76,13.03,16.21,7.07,3.0,35.45,77.8,0.8,31.0,78.0,0.8,64.0,73.4,0.6,-2.0,72.3,0.5,2.0,82.81,200.7,2,4
2003,1421,1400,0,16,1,15,71.21,78.45,78.86,68.68,-7.24,10.18,7.65,9.77,71.21,0.43,0.36,0.76,13.03,16.21,7.07,3.0,35.45,78.86,0.45,0.35,0.71,14.5,13.43,6.39,3.86,42.32,73.4,0.6,-2.0,72.3,0.5,2.0,77.8,0.8,31.0,78.0,0.8,64.0,200.7,82.81,4,2
2003,1428,1332,1,9,8,1,66.73,60.0,82.22,73.97,6.73,8.25,15.49,13.97,66.73,0.46,0.38,0.7,13.2,12.7,4.67,3.77,33.33,82.22,0.46,0.39,0.78,17.47,15.22,8.03,2.78,35.88,58.2,0.6,1.0,66.2,0.7,34.0,77.8,0.6,-12.0,78.2,0.7,56.0,112.33,118.41,3,4
2003,1332,1428,0,8,9,-1,82.22,73.97,66.73,60.0,8.25,6.73,15.49,13.97,82.22,0.46,0.39,0.78,17.47,15.22,8.03,2.78,35.88,66.73,0.46,0.38,0.7,13.2,12.7,4.67,3.77,33.33,77.8,0.6,-12.0,78.2,0.7,56.0,58.2,0.6,1.0,66.2,0.7,34.0,118.41,112.33,4,3
2003,1448,1190,1,2,15,-13,78.41,67.62,79.7,77.48,10.79,2.22,1.29,9.86,78.41,0.46,0.34,0.75,14.59,15.1,6.41,4.38,41.69,79.7,0.46,0.34,0.74,14.04,18.74,10.7,5.26,38.04,77.0,0.8,37.0,75.6,0.8,44.0,80.0,0.8,18.0,82.3,0.8,52.0,95.41,182.23,3,4
2003,1190,1448,0,15,2,13,79.7,77.48,78.41,67.62,2.22,10.79,1.29,9.86,79.7,0.46,0.34,0.74,14.04,18.74,10.7,5.26,38.04,78.41,0.46,0.34,0.75,14.59,15.1,6.41,4.38,41.69,80.0,0.8,18.0,82.3,0.8,52.0,77.0,0.8,37.0,75.6,0.8,44.0,182.23,95.41,4,3
2003,1462,1407,1,3,14,-11,78.23,65.97,79.37,70.57,12.27,8.8,1.13,4.6,78.23,0.45,0.36,0.75,16.4,13.03,5.47,3.03,39.43,79.37,0.43,0.33,0.69,15.07,13.73,9.53,5.2,39.77,78.0,0.8,39.0,81.4,0.9,95.0,86.4,1.0,106.0,83.5,0.9,156.0,122.29,211.69,3,4
2003,1407,1462,0,14,3,11,79.37,70.57,78.23,65.97,8.8,12.27,1.13,4.6,79.37,0.43,0.33,0.69,15.07,13.73,9.53,5.2,39.77,78.23,0.45,0.36,0.75,16.4,13.03,5.47,3.03,39.43,86.4,1.0,106.0,83.5,0.9,156.0,78.0,0.8,39.0,81.4,0.9,95.0,211.69,122.29,4,3
2003,1112,1211,1,1,9,-8,85.21,70.25,77.06,68.19,14.96,8.87,8.15,2.06,85.21,0.46,0.35,0.7,17.64,14.79,8.46,4.21,42.82,77.06,0.47,0.38,0.72,15.74,14.55,6.81,3.52,37.26,81.8,0.8,29.0,85.6,0.9,128.0,69.6,0.8,29.0,72.3,0.7,69.0,89.41,138.14,2,4
2003,1211,1112,0,9,1,8,77.06,68.19,85.21,70.25,8.87,14.96,8.15,2.06,77.06,0.47,0.38,0.72,15.74,14.55,6.81,3.52,37.26,85.21,0.46,0.35,0.7,17.64,14.79,8.46,4.21,42.82,69.6,0.8,29.0,72.3,0.7,69.0,81.8,0.8,29.0,85.6,0.9,128.0,138.14,89.41,4,2
2003,1163,1390,1,5,4,1,80.03,71.4,72.26,66.97,8.63,5.29,7.78,4.43,80.03,0.47,0.39,0.67,15.63,15.8,5.93,7.73,42.67,72.26,0.44,0.36,0.68,14.65,14.32,5.52,3.35,38.87,76.0,0.6,39.0,76.8,0.6,59.0,79.2,0.6,24.0,76.7,0.7,53.0,102.71,91.71,4,2
2003,1390,1163,0,4,5,-1,72.26,66.97,80.03,71.4,5.29,8.63,7.78,4.43,72.26,0.44,0.36,0.68,14.65,14.32,5.52,3.35,38.87,80.03,0.47,0.39,0.67,15.63,15.8,5.93,7.73,42.67,79.2,0.6,24.0,76.7,0.7,53.0,76.0,0.6,39.0,76.8,0.6,59.0,91.71,102.71,2,4
2003,1181,1141,1,3,11,-8,81.97,70.4,79.34,73.24,11.57,6.1,2.62,2.84,81.97,0.45,0.36,0.71,13.83,14.03,8.5,5.13,36.87,79.34,0.51,0.38,0.77,15.62,18.24,7.1,4.0,33.86,78.6,0.8,39.0,77.3,0.8,92.0,83.4,1.0,85.0,83.9,0.9,117.0,84.02,147.78,4,4
